nýtsluland;1993 Alt árið;1994 Alt árið;1995 Alt árið;1996 Alt árið;1997 Alt árið;1998 Alt árið;1999 Alt árið;2000 Alt árið;2001 Alt árið;2002 Alt árið;2003 Alt árið;2004 Alt árið;2005 Alt árið;2006 Alt árið;2007 Alt árið;2008 Alt árið;2009 Alt árið;2010 Alt árið;2011 Alt árið;2012 Alt árið;2013 Alt árið;2014 Alt árið;2015 Alt árið;2016 Alt árið;2017 Alt árið;2018 Alt árið;2019 Alt árið;2020 Alt árið;2021 Alt árið;2022 Alt árið
Belgia og Luksemborg;27225.5;20381.3;6720.1;11576.4;13901.4;13553.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belis;0.0;1744.1;546.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.2;306.6;0.0;86.8;10.6;0.0;0.0;0.0;0.0;0.0;41000.0;0.0;0.0;0.0;0.0
Benin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;0.0;511.2;21891.8;900.3;0.0;0.0;685.8;1414.2;9054.3;2367.8
Bolivia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Brasil;0.0;0.0;0.0;2309.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bretland;416338.7;423981.1;522965.4;584051.0;686888.8;782852.9;733079.5;771325.4;792424.0;1023440.1;863897.3;941319.0;1027239.2;1020877.2;969518.8;876482.0;707322.5;763319.6;727723.3;630441.7;690464.3;660270.4;592905.5;850911.5;769536.8;840204.4;867020.3;849386.2;1054393.4;1605067.6
Bulgaria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;337.3;76.4;0.0;0.0;0.0;3140.4;4262.2;2943.9;0.0;2271.3;0.0;2061.9;0.0;8703.8;10496.2;3474.7;25071.7;28607.8
Butan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;481.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ceuta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;273.0;4347.9;1595.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;226.7;0.0;24.3;0.0;0.0;0.0
Chagosoyggjar;0.0;0.0;0.0;0.0;0.0;672.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Danmark;545127.9;550816.5;448908.4;591985.9;642805.7;705392.5;895559.7;917893.9;1096975.2;851037.9;910472.8;718701.3;516963.3;465538.7;520922.2;522592.8;439934.3;480873.4;407655.6;395374.5;425951.0;435480.7;527610.8;624808.0;569681.2;705813.7;1063198.7;908315.3;1282766.5;1684891.8
Dominika;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;625.7;710.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dominikalýðveldið;194.7;732.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.9;3209.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.6;738.7;0.0;0.0;0.0;0.0;0.0
